Year,Date,Direction,Vehicle Type,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,,
2010,1/01/2010,Westbound,All Vehicles,992,2464,2209,1248,853,633,489,438,405,431,627,846,988,1047,1101,1207,1227,1290,1258,1163,1077,1012,1102,1110,1,1
2010,2/01/2010,Eastbound,All Vehicles,402,287,225,205,251,418,584,718,878,1179,1508,1691,1720,1571,1547,1416,1352,1475,1486,1257,1054,1257,1109,907,0,1
2010,2/01/2010,Westbound,All Vehicles,866,663,494,317,266,260,304,407,572,782,1075,1310,1411,1534,1668,1663,1563,1601,1618,1257,1018,1100,1178,1359,0,1
2010,3/01/2010,Westbound,All Vehicles,1196,920,797,560,474,297,286,360,453,678,957,1134,1405,1464,1411,1710,1596,1543,1537,1439,1100,1154,1061,877,0,1
2010,3/01/2010,Eastbound,All Vehicles,662,396,326,262,269,411,490,614,874,1325,1282,1540,1568,1514,1530,1476,1349,1314,1225,997,831,742,673,459,0,1
2010,4/01/2010,Eastbound,All Vehicles,257,177,160,193,332,867,1596,2006,1896,1636,1468,1549,1537,1600,1443,1461,1442,1448,1216,960,806,772,598,373,0,1
2010,4/01/2010,Westbound,All Vehicles,663,403,279,182,174,279,502,825,1051,981,1254,1367,1505,1534,1749,1965,2033,2239,1922,1504,1028,994,965,768,0,1
2010,5/01/2010,Eastbound,All Vehicles,240,141,139,204,336,847,1728,2115,2109,1935,1800,1727,1736,1602,1521,1433,1474,1545,1269,986,899,792,679,448,0,1
2010,5/01/2010,Westbound,All Vehicles,561,377,236,186,157,221,542,857,1097,1197,1248,1458,1520,1717,1894,2069,2287,2462,2166,1585,1182,1111,1140,906,0,1
2010,6/01/2010,Westbound,All Vehicles,716,371,295,197,183,239,561,831,1068,1143,1282,1469,1512,1611,1756,2006,2265,2555,2430,2114,1197,1200,1213,922,0,1
2010,6/01/2010,Eastbound,All Vehicles,268,142,150,176,323,897,1788,2118,2099,1733,1740,1699,1625,1536,1522,1465,1428,1583,1304,1092,924,853,761,442,0,1
2010,7/01/2010,Eastbound,All Vehicles,278,155,185,174,336,865,1767,2071,2132,1781,1608,1666,1682,1597,1624,1614,1582,1669,1436,1152,955,887,769,502,0,1
2010,7/01/2010,Westbound,All Vehicles,668,428,308,215,172,242,547,880,1119,1132,1303,1486,1659,1686,1810,2056,2174,2323,2162,1544,1268,1347,1203,1037,0,1
2010,8/01/2010,Westbound,All Vehicles,728,440,373,276,219,250,556,878,1090,1224,1305,1564,1631,1597,1882,1981,2121,2315,2075,1570,1319,1255,1365,1472,0,1
2010,8/01/2010,Eastbound,All Vehicles,357,212,198,235,317,842,1740,2146,2154,1788,1658,1792,1653,1575,1573,1608,1641,1723,1704,1441,1189,1184,1028,884,0,1
2010,9/01/2010,Westbound,All Vehicles,1225,879,740,559,438,339,402,556,771,1078,1334,1626,1784,1747,1828,1796,1769,1786,1779,1402,1234,1283,1480,1743,0,1
2010,9/01/2010,Eastbound,All Vehicles,587,420,290,308,321,552,955,1054,1372,1659,1759,1999,1968,1831,1610,1711,1555,1592,1607,1489,1288,1313,1284,1107,0,1
2010,10/01/2010,Eastbound,All Vehicles,778,515,402,363,298,411,528,636,910,1457,1578,1713,1822,1588,1569,1486,1470,1269,1198,985,915,883,697,429,0,1
2010,10/01/2010,Westbound,All Vehicles,1695,1230,1010,772,527,402,319,419,503,757,1061,1262,1482,1419,1540,1558,1655,1700,1724,1516,1340,1361,1311,993,0,1
2010,11/01/2010,Eastbound,All Vehicles,287,168,167,198,353,931,2055,2458,2401,1764,1650,1587,1618,1531,1535,1442,1582,1681,1448,1042,854,741,597,353,0,1
2010,11/01/2010,Westbound,All Vehicles,619,418,287,190,178,283,632,1024,1239,1287,1297,1413,1647,1689,1816,2067,2219,2409,2218,1451,1110,1146,1069,867,0,1
2010,12/01/2010,Eastbound,All Vehicles,255,144,174,180,312,939,2110,2193,2635,1985,1833,1686,1768,1641,1552,1348,1549,1726,1465,1008,925,862,734,440,0,1
2010,12/01/2010,Westbound,All Vehicles,677,329,236,195,173,253,612,1005,1242,1244,1355,1556,1685,1686,1921,2174,2339,2459,2269,1724,1356,1265,1241,1061,0,1
2010,13/01/2010,Eastbound,All Vehicles,240,170,178,174,319,1026,2191,2564,2438,1949,1784,1739,1742,1666,1552,1597,1632,1661,1513,1233,995,859,786,548,0,1
2010,13/01/2010,Westbound,All Vehicles,682,372,285,199,182,281,628,1041,1254,1307,1383,1556,1627,1769,1963,2191,2392,2561,2316,1879,1337,1220,1172,1051,0,1
2010,14/01/2010,Eastbound,All Vehicles,277,161,169,188,350,970,2147,2570,2550,1983,1800,1672,1729,1719,1613,1599,1634,1742,1711,1222,995,969,851,518,0,1
2010,14/01/2010,Westbound,All Vehicles,652,402,296,202,187,276,617,1011,1300,1314,1383,1481,1343,1878,1831,1810,2419,2449,2388,1710,1395,1456,1295,1090,0,1
2010,15/01/2010,Eastbound,All Vehicles,320,199,211,210,358,979,2160,2512,2547,1924,1794,1819,1830,1747,1677,1712,1661,1794,1702,1577,1230,1232,1217,922,0,1
2010,15/01/2010,Westbound,All Vehicles,701,493,350,234,220,288,605,1013,1220,1285,1443,1572,1758,1894,1969,2231,2025,2378,2213,1847,1296,1281,1489,1564,0,1
2010,16/01/2010,Westbound,All Vehicles,1213,935,758,562,476,328,405,609,807,1188,1490,1767,1850,1919,2006,2007,2047,1881,1821,1480,1230,1252,1461,1704,0,1
2010,16/01/2010,Eastbound,All Vehicles,640,477,329,366,329,604,1133,1150,1405,1675,1822,1938,1937,2016,1751,1823,1662,1758,1873,1615,1304,1410,1366,1224,0,1
2010,17/01/2010,Eastbound,All Vehicles,838,490,417,343,325,401,537,660,979,1370,1614,1775,1763,1754,1624,1776,1561,1444,1291,1049,920,918,729,478,0,1
2010,17/01/2010,Westbound,All Vehicles,1475,1123,1023,804,587,398,372,386,536,810,1163,1364,1569,1636,1605,1727,1856,1720,1805,1689,1411,1307,1331,991,0,1
2010,18/01/2010,Westbound,All Vehicles,622,409,256,171,207,302,646,1095,1286,1286,1397,1417,1602,1737,1856,2267,2324,2509,2296,1672,1244,1167,1094,911,0,1
2010,18/01/2010,Eastbound,All Vehicles,275,170,152,193,326,1046,2179,2646,2549,1986,1696,1689,1551,1436,1563,1489,1523,1624,1423,1106,850,755,643,379,0,1
2010,19/01/2010,Eastbound,All Vehicles,214,138,147,176,331,1041,2194,2701,2560,1983,1776,1738,1778,1718,1364,1639,1635,1729,1590,1119,996,869,701,433,0,1
2010,19/01/2010,Westbound,All Vehicles,550,309,238,197,178,256,654,1077,1270,1376,1421,1588,1682,1847,1975,2193,2440,2485,2283,1685,1353,1371,1311,1057,0,1
2010,20/01/2010,Eastbound,All Vehicles,249,139,146,194,379,1085,2186,2608,2661,2057,1819,1738,1790,1714,1564,1560,1662,1742,1682,1200,1044,1042,847,499,0,1
2010,20/01/2010,Westbound,All Vehicles,654,375,281,176,207,285,651,1108,1289,1319,1419,1636,1666,1807,1932,2246,2446,2523,2282,1826,1393,1384,1312,1406,0,1
2010,21/01/2010,Eastbound,All Vehicles,291,163,172,220,364,1044,2235,2656,2625,2091,1829,1839,1717,1653,1512,1622,1741,1820,1664,1318,1107,1088,949,560,0,1
2010,21/01/2010,Westbound,All Vehicles,769,423,300,221,214,271,644,1180,1288,1241,1399,1559,1719,1860,1954,2296,2420,2488,2400,1813,1526,1532,1446,1418,0,1
2010,22/01/2010,Eastbound,All Vehicles,347,234,189,240,402,994,2157,2654,2566,2132,1841,1898,1776,1716,1685,1585,1578,1824,1746,1325,1242,1246,1091,924,0,1
2010,22/01/2010,Westbound,All Vehicles,804,495,363,260,263,304,628,1098,1286,1347,1451,1731,1867,1851,2044,2332,2330,2431,2253,1787,1362,1285,1529,1570,0,1
2010,23/01/2010,Eastbound,All Vehicles,685,429,353,318,329,583,960,1212,1455,1761,1777,1946,1892,1902,1774,1666,1474,1659,1673,1472,1238,1243,1289,1252,0,1
2010,23/01/2010,Westbound,All Vehicles,1261,906,732,526,448,324,376,583,864,1199,1545,1805,1811,1804,1786,1795,1893,2048,1962,1419,1206,1259,1454,1740,0,1
2010,24/01/2010,Westbound,All Vehicles,1370,1019,906,694,573,366,318,390,484,722,1098,1486,1690,1681,1701,1751,1820,1744,1686,1394,1156,1447,1671,1035,0,1
2010,24/01/2010,Eastbound,All Vehicles,903,541,378,345,305,390,453,590,841,1341,1527,1867,1967,2083,1691,1659,1578,1419,1203,1033,938,950,728,528,0,1
2010,25/01/2010,Westbound,All Vehicles,715,387,291,204,226,264,557,920,1172,1209,1436,1643,1762,1870,1937,2165,2332,2301,2119,1663,1278,1153,1196,1138,0,1
2010,25/01/2010,Eastbound,All Vehicles,294,207,194,217,357,847,1751,2259,2214,1893,1763,1747,1788,1731,1669,1591,1622,1765,1524,1188,1093,1042,934,632,0,1
2010,26/01/2010,Eastbound,All Vehicles,446,339,361,365,387,617,618,714,869,1306,1589,1856,1788,1558,1324,1319,1220,1208,1239,1125,925,922,746,489,1,1
2010,26/01/2010,Westbound,All Vehicles,931,684,580,489,346,263,298,365,447,625,834,1119,1217,1349,1316,1437,1567,1663,1909,1450,1266,1566,1946,1322,1,1
2010,27/01/2010,Westbound,All Vehicles,775,461,305,203,200,322,656,1130,1371,1330,1500,1663,1830,1858,1990,2331,2513,2516,2440,1738,1330,1281,1141,1074,0,0
2010,27/01/2010,Eastbound,All Vehicles,257,179,177,213,368,1041,2192,2716,2717,2126,1907,1719,1720,1689,1606,1609,1625,1716,1634,1169,911,877,697,438,0,0
2010,28/01/2010,Eastbound,All Vehicles,231,144,163,214,384,1085,2308,2739,2695,2258,1935,1748,1647,1681,1598,1664,1668,1804,1598,1279,1017,942,783,459,0,0
2010,28/01/2010,Westbound,All Vehicles,634,372,243,198,174,290,665,1188,1357,1338,1486,1674,1748,1772,2016,2339,2452,2514,2335,1835,1477,1467,1243,1029,0,0
2010,29/01/2010,Westbound,All Vehicles,677,418,314,216,243,299,656,1149,1379,1360,1460,1642,1780,1870,2157,2306,2383,2377,2320,1946,1404,1357,1427,1510,0,0
2010,29/01/2010,Eastbound,All Vehicles,293,171,149,220,388,1076,2358,2814,2678,2236,1918,1785,1732,1761,1604,1668,1746,1708,2029,1760,1222,1165,1111,875,0,0
2010,30/01/2010,Eastbound,All Vehicles,604,385,374,338,323,673,1177,1307,1494,1739,1838,1916,1914,1912,1907,1855,1655,1828,1774,1693,1403,1315,1324,1119,0,0
2010,30/01/2010,Westbound,All Vehicles,1212,846,758,600,433,347,467,625,854,1194,1597,1948,1962,2027,2090,2132,1996,2046,1906,1492,1311,1249,1473,1749,0,0
2010,31/01/2010,Westbound,All Vehicles,1556,1214,1011,791,561,358,335,398,530,817,1163,1493,1695,1778,1885,1744,1880,1757,1670,1397,1119,1168,1051,938,0,0
2010,31/01/2010,Eastbound,All Vehicles,822,567,435,409,300,421,548,764,1019,1428,1624,1693,1751,1780,1680,1643,1490,1397,1189,983,843,837,626,448,0,0
2010,1/02/2010,Eastbound,All Vehicles,220,166,161,200,362,1068,2263,2716,2699,2082,1863,1714,1554,1572,1574,1520,1556,1667,1435,1007,879,819,519,344,0,0
2010,1/02/2010,Westbound,All Vehicles,582,356,238,154,163,325,677,1215,1355,1314,1327,1589,1708,1793,1976,2298,2439,2500,2322,1735,1359,1157,1015,810,0,0
2010,2/02/2010,Eastbound,All Vehicles,183,138,136,199,372,1034,2207,2742,2680,2185,1851,1684,1680,1609,1542,1609,1638,1749,1588,1169,966,908,678,402,0,0
2010,2/02/2010,Westbound,All Vehicles,498,317,212,194,159,300,652,1231,1383,1305,1366,1658,1796,1856,2042,2235,2414,2512,2314,1815,1481,1268,1192,984,0,0
2010,3/02/2010,Eastbound,All Vehicles,200,150,152,187,406,1059,2123,2718,2629,2503,2052,1990,1666,1634,1555,1720,1704,1756,1636,1185,1016,988,746,475,0,0
2010,3/02/2010,Westbound,All Vehicles,617,331,284,181,184,282,635,1234,1420,1294,1358,1592,1765,1885,2150,2179,2347,2543,2365,1920,1537,1404,1249,1059,0,0
2010,4/02/2010,Westbound,All Vehicles,630,426,293,193,163,289,652,1226,1395,1316,1402,1522,1729,1940,2074,2337,2317,2286,2448,1881,1586,1472,1295,1366,0,0
2010,4/02/2010,Eastbound,All Vehicles,239,173,167,207,397,1073,2277,2738,2753,2243,1868,1774,1658,1729,1611,1689,1615,1882,1853,1327,1043,951,813,499,0,0
2010,5/02/2010,Eastbound,All Vehicles,280,175,169,226,394,1061,2289,2802,2695,2236,1964,1864,1771,1623,1647,1728,1724,1783,1897,1530,1254,1164,1046,857,0,0
2010,5/02/2010,Westbound,All Vehicles,930,443,332,239,218,300,601,1202,1386,1344,1595,1556,1910,1991,2113,2187,2327,2468,2339,1870,1425,1358,1383,1737,0,0
2010,6/02/2010,Westbound,All Vehicles,1242,776,701,529,411,304,451,608,984,1295,1636,1887,1925,1801,1937,2055,1947,1678,1607,1574,1284,1251,1375,1719,0,0
2010,6/02/2010,Eastbound,All Vehicles,593,393,307,314,332,655,1080,1249,1581,1688,1784,1798,1779,1887,1714,1785,1653,1628,1808,1725,1235,1198,1127,1089,0,0
2010,7/02/2010,Westbound,All Vehicles,1726,987,948,665,491,339,341,393,497,831,1205,1513,1732,1922,1878,1882,2005,1828,1753,1380,1276,1206,1102,1217,0,0
2010,7/02/2010,Eastbound,All Vehicles,706,477,362,337,317,399,558,665,980,1472,1575,1853,1942,1835,1743,1768,1662,1626,1445,1080,900,827,677,488,0,0
2010,8/02/2010,Eastbound,All Vehicles,242,174,157,210,349,1121,2202,2564,2690,2283,1950,1704,1588,1566,1534,1579,1664,1659,1411,1093,944,900,633,357,0,0
2010,8/02/2010,Westbound,All Vehicles,668,371,214,173,192,290,633,1181,1419,1329,1375,1528,1740,1768,2050,2255,2343,2535,2402,1807,1340,1268,1064,811,0,0
2010,9/02/2010,Eastbound,All Vehicles,224,142,146,202,355,1065,2327,2741,2794,2110,1923,1664,1682,1581,1524,1659,1729,1651,1735,1248,1127,1000,685,425,0,0
2010,9/02/2010,Westbound,All Vehicles,569,321,230,183,171,309,645,1268,1315,1330,1302,1591,1853,1881,2045,2243,2358,2552,2343,1852,1528,1477,1329,989,0,0
2010,10/02/2010,Westbound,All Vehicles,627,318,277,187,192,307,662,1255,1371,1283,1376,1583,1823,1883,2047,2194,2423,2481,2272,2126,1503,1366,1349,1022,0,0
2010,10/02/2010,Eastbound,All Vehicles,227,155,165,204,384,1152,2244,2836,2767,2189,1958,1819,1710,1668,1611,1585,1748,1625,1726,1225,1030,995,781,462,0,0
2010,11/02/2010,Eastbound,All Vehicles,231,172,164,219,411,1101,2330,2758,2780,2274,1860,1771,1708,1625,1543,1731,1578,1414,1698,1278,1080,1057,867,569,0,0
2010,11/02/2010,Westbound,All Vehicles,604,386,323,235,193,315,662,1228,1331,1319,1355,1539,1763,1876,2071,2194,1637,1857,1998,2260,1672,1543,1431,1085,0,0
2010,12/02/2010,Westbound,All Vehicles,753,486,320,260,230,305,664,1217,1340,1363,1424,1671,1909,1854,2142,2235,2360,2417,2269,1951,1673,1429,1645,1687,0,0
2010,12/02/2010,Eastbound,All Vehicles,300,221,182,255,429,1105,2310,2805,2643,2247,1900,1916,1864,1751,1623,1761,1640,1834,1837,1562,1292,1208,1020,801,0,0
2010,13/02/2010,Eastbound,All Vehicles,640,433,317,336,366,665,1135,1315,1589,1789,1884,1980,2011,2032,1936,1839,1715,1802,1649,1617,1343,1320,1355,1149,0,0
2010,13/02/2010,Westbound,All Vehicles,1522,828,636,508,428,320,444,613,1014,1351,1717,1885,2039,2119,2074,2160,2139,2030,1919,1479,1276,1409,1705,1935,0,0
2010,14/02/2010,Eastbound,All Vehicles,454,249,377,368,316,395,512,732,1057,1616,1805,1949,1942,1961,1899,2034,1774,1668,1515,1286,1088,910,728,466,0,0
