date,compound_score_weighted,total_volume_of_tweets,count_negatives,count_positives,count_neutrals,sent_negatives,sent_positives,count_news,count_bots,open,high,low,close,volume_btc,volume_currency,bitcoin_change
2017-08-01,0.04006863236517494,30802,4701,6471,12089,-0.4108432818745731,0.4374375697129938,19401,7541,2855.81,2929.17,2615.0,2731.0,12525.07,34322796.54000001,
2017-08-02,0.06083273206113785,23726,2732,4734,9063,-0.3699486924403065,0.42487379334846165,14537,7197,2735.27,2760.0,2650.0,2703.51,8160.55,22086532.15,-1.0065909923104965
2017-08-03,0.06042989096543737,25111,3233,5351,9806,-0.3864231471364541,0.43803832221451494,16127,6721,2703.51,2807.44,2698.83,2793.37,7963.73,21938304.000000004,3.323827172823468
2017-08-04,0.051761907606674123,21863,2703,4150,7959,-0.40757161705738815,0.4484933892701686,13078,7051,2793.34,2877.52,2765.91,2855.0,7635.819999999999,21650087.65,2.206295621417853
2017-08-05,0.09004297629642147,22123,2115,6258,8731,-0.4055540195927528,0.3976363452127327,13045,5019,2851.01,3339.66,2848.32,3263.62,16996.260000000002,53861926.05,14.312434325744295
2017-08-06,0.0625718011617898,15469,2190,3754,6161,-0.39562840517291376,0.43155180991842634,9929,3364,3263.51,3296.51,3146.1,3222.75,5998.719999999998,19412655.959999997,-1.2522904014560465
2017-08-07,0.07394049751698982,24169,3710,6587,9688,-0.3560584625828512,0.43044748638950875,16743,4184,3216.78,3430.0,3186.0,3387.55,12046.109999999999,40225852.010000005,5.113645178806925
2017-08-08,0.061831811147054175,27334,4193,7144,10816,-0.37564941154632514,0.41032997180617053,19526,5181,3387.54,3490.0,3300.0,3412.41,15835.369999999999,54054824.25,0.7338637068087461
2017-08-09,0.07585287858338083,22628,3000,5861,10376,-0.3453275303922417,0.4270654809980887,16476,3391,3408.46,3423.1,3178.72,3342.99,14286.83,47356464.4,-2.034339367192106
2017-08-10,0.09707006555998027,22397,3018,6391,9753,-0.347644555226613,0.4541574264675039,16211,3235,3342.99,3448.0,3311.17,3413.03,9031.119999999999,30658440.5,2.0951304072103216
