date,num_crimes,computer_related,num_arrests,num_domestic
2017-08-01,947,0,135,160
2017-08-02,773,2,157,130
2017-08-03,848,0,153,133
2017-08-04,924,1,164,117
2017-08-05,927,0,154,135
2017-08-06,865,0,169,169
2017-08-07,773,0,170,128
2017-08-08,765,0,156,104
2017-08-09,769,1,147,140
2017-08-10,789,0,161,129
2017-08-11,765,0,163,117
2017-08-12,812,0,147,116
2017-08-13,730,1,139,141
2017-08-14,811,0,139,111
2017-08-15,795,0,117,103
2017-08-16,795,0,127,126
2017-08-17,767,2,126,108
2017-08-18,856,0,165,125
2017-08-19,891,0,172,143
2017-08-20,774,0,135,139
2017-08-21,753,1,137,121
2017-08-22,779,1,138,125
2017-08-23,747,0,153,121
2017-08-24,799,0,161,101
2017-08-25,770,1,163,109
2017-08-26,780,2,153,148
2017-08-27,754,1,139,147
2017-08-28,686,0,142,109
2017-08-29,724,0,148,102
2017-08-30,785,1,158,106
2017-08-31,733,1,172,98
2017-09-01,906,1,173,122
2017-09-02,769,0,172,127
2017-09-03,757,0,193,126
2017-09-04,715,0,177,158
2017-09-05,703,0,153,104
2017-09-06,648,1,127,96
2017-09-07,727,1,142,102
2017-09-08,702,0,136,115
2017-09-09,733,0,150,127
2017-09-10,739,0,141,136
2017-09-11,690,0,116,94
2017-09-12,724,1,139,114
2017-09-13,705,2,134,93
2017-09-14,734,0,126,106
2017-09-15,808,0,131,112
2017-09-16,826,0,164,121
2017-09-17,812,0,127,158
2017-09-18,771,0,127,111
2017-09-19,708,1,141,119
2017-09-20,826,0,165,133
2017-09-21,803,1,137,126
2017-09-22,797,0,150,112
2017-09-23,829,2,151,139
2017-09-24,808,0,135,161
2017-09-25,820,0,144,112
2017-09-26,747,2,137,115
2017-09-27,724,1,135,109
2017-09-28,714,0,131,126
2017-09-29,808,1,149,111
2017-09-30,744,0,137,112
2017-10-01,846,0,153,151
2017-10-02,751,1,135,117
2017-10-03,739,1,148,92
2017-10-04,743,1,135,109
2017-10-05,747,0,151,110
2017-10-06,748,2,144,102
2017-10-07,711,1,133,129
2017-10-08,717,2,139,136
2017-10-09,746,1,147,124
2017-10-10,702,0,106,112
2017-10-11,614,1,111,92
2017-10-12,764,2,148,88
2017-10-13,768,0,138,113
2017-10-14,646,1,119,112
2017-10-15,639,0,105,125
2017-10-16,761,0,115,106
2017-10-17,715,1,117,105
2017-10-18,771,5,138,96
2017-10-19,772,0,140,109
2017-10-20,848,2,154,124
2017-10-21,813,1,131,138
2017-10-22,737,0,152,130
2017-10-23,738,3,128,107
2017-10-24,687,0,128,93
2017-10-25,714,2,125,95
2017-10-26,753,2,148,105
2017-10-27,817,1,128,89
2017-10-28,716,0,137,99
2017-10-29,696,1,129,126
2017-10-30,708,1,128,88
2017-10-31,756,0,119,114
2017-11-01,816,0,134,131
2017-11-02,722,0,139,104
2017-11-03,788,2,138,99
2017-11-04,754,0,135,112
2017-11-05,773,0,156,137
2017-11-06,717,0,148,94
2017-11-07,677,0,126,98
2017-11-08,756,0,132,98
2017-11-09,654,0,146,90
2017-11-10,679,0,127,93
2017-11-11,688,0,137,109
2017-11-12,665,0,120,136
2017-11-13,718,0,119,110
2017-11-14,696,0,119,106
2017-11-15,707,0,121,93
2017-11-16,762,0,164,105
2017-11-17,738,0,147,96
2017-11-18,696,0,118,122
2017-11-19,689,1,139,135
2017-11-20,760,2,134,110
2017-11-21,672,0,131,97
2017-11-22,652,1,129,85
2017-11-23,543,1,76,131
2017-11-24,683,0,123,107
2017-11-25,713,0,138,121
2017-11-26,661,1,149,107
2017-11-27,772,0,125,116
2017-11-28,783,2,170,108
2017-11-29,771,0,127,101
2017-11-30,749,0,139,92
2017-12-01,902,1,171,131
2017-12-02,757,1,172,126
2017-12-03,672,0,103,133
2017-12-04,809,2,156,120
2017-12-05,709,1,138,95
2017-12-06,710,0,121,92
2017-12-07,625,0,103,89
2017-12-08,735,2,141,106
2017-12-09,659,1,126,116
2017-12-10,664,0,127,123
2017-12-11,737,1,129,104
2017-12-12,683,1,116,109
2017-12-13,700,0,133,85
2017-12-14,717,1,126,92
2017-12-15,765,2,126,114
2017-12-16,771,0,158,119
2017-12-17,727,1,132,125
2017-12-18,725,0,127,100
2017-12-19,764,1,123,112
2017-12-20,701,0,131,94
2017-12-21,747,0,131,96
2017-12-22,783,1,132,96
2017-12-23,712,0,118,122
2017-12-24,502,0,81,101
2017-12-25,394,0,52,116
2017-12-26,524,1,96,96
2017-12-27,522,0,100,96
2017-12-28,601,0,115,88
2017-12-29,574,3,108,94
2017-12-30,620,1,96,111
2017-12-31,542,0,114,115
2018-01-01,872,1,144,210
2018-01-02,558,2,121,85
2018-01-03,572,0,108,70
2018-01-04,601,1,111,98
2018-01-05,661,1,106,106
2018-01-06,585,0,114,120
2018-01-07,533,0,96,130
2018-01-08,618,0,143,91
2018-01-09,652,1,156,94
2018-01-10,714,0,162,113
2018-01-11,699,0,135,89
2018-01-12,706,0,134,104
2018-01-13,617,2,122,104
2018-01-14,563,1,121,124
2018-01-15,529,0,110,91
2018-01-16,613,0,120,91
2018-01-17,646,0,133,106
2018-01-18,624,1,131,82
2018-01-19,707,1,172,82
2018-01-20,725,1,172,123
2018-01-21,717,0,156,124
2018-01-22,724,0,145,109
2018-01-23,717,0,145,102
2018-01-24,612,0,137,86
2018-01-25,640,2,112,87
2018-01-26,761,1,170,120
2018-01-27,754,1,181,123
2018-01-28,669,1,146,134
2018-01-29,652,1,126,89
2018-01-30,634,0,134,76
2018-01-31,708,0,143,96
2018-02-01,720,0,121,108
2018-02-02,672,2,144,102
2018-02-03,627,1,155,101
2018-02-04,511,0,108,110
2018-02-05,539,0,102,82
2018-02-06,588,0,148,92
2018-02-07,541,1,129,88
2018-02-08,556,2,137,95
2018-02-09,505,0,123,95
2018-02-10,533,0,118,99
2018-02-11,537,0,132,104
2018-02-12,571,0,139,84
2018-02-13,641,0,139,103
2018-02-14,660,0,167,113
2018-02-15,699,1,179,125
2018-02-16,662,0,121,94
2018-02-17,603,0,101,111
2018-02-18,586,0,125,116
2018-02-19,624,0,128,108
2018-02-20,641,0,127,98
2018-02-21,636,1,146,91
2018-02-22,678,0,158,115
2018-02-23,669,0,169,95
2018-02-24,681,1,159,130
2018-02-25,655,0,133,135
2018-02-26,625,0,153,88
2018-02-27,690,0,159,99
2018-02-28,646,0,154,101
2018-03-01,814,0,145,142
2018-03-02,692,0,178,104
2018-03-03,664,0,157,132
2018-03-04,648,0,147,128
2018-03-05,663,1,153,111
2018-03-06,651,0,142,108
2018-03-07,654,1,153,90
2018-03-08,659,0,133,96
2018-03-09,743,0,164,101
2018-03-10,682,0,159,136
2018-03-11,617,0,142,144
2018-03-12,661,1,132,100
2018-03-13,638,2,127,102
2018-03-14,664,0,164,104
2018-03-15,690,1,135,108
2018-03-16,702,1,146,108
2018-03-17,775,0,171,142
2018-03-18,686,0,134,150
2018-03-19,657,1,128,93
2018-03-20,711,0,147,122
2018-03-21,687,0,157,114
2018-03-22,669,0,128,79
2018-03-23,752,0,168,98
2018-03-24,648,0,133,121
2018-03-25,676,0,172,132
2018-03-26,695,0,141,118
2018-03-27,673,1,140,116
2018-03-28,687,0,150,113
2018-03-29,628,0,135,99
2018-03-30,704,1,157,109
2018-03-31,691,1,151,123
2018-04-01,714,1,118,159
2018-04-02,673,3,131,108
2018-04-03,604,1,136,99
2018-04-04,697,1,140,96
2018-04-05,669,0,145,107
2018-04-06,695,1,157,111
2018-04-07,636,3,150,126
2018-04-08,616,1,127,127
2018-04-09,660,2,134,100
2018-04-10,712,0,156,101
2018-04-11,766,0,136,114
2018-04-12,749,0,138,135
2018-04-13,781,0,149,133
2018-04-14,688,0,130,116
2018-04-15,599,0,96,108
2018-04-16,731,1,113,108
2018-04-17,699,0,141,107
2018-04-18,625,2,118,93
2018-04-19,722,0,165,98
2018-04-20,797,1,177,119
2018-04-21,677,0,158,120
2018-04-22,697,0,144,136
2018-04-23,715,0,130,119
2018-04-24,714,0,144,120
2018-04-25,750,1,174,109
2018-04-26,730,0,131,110
2018-04-27,772,3,177,116
2018-04-28,678,2,128,121
2018-04-29,725,0,161,150
2018-04-30,789,1,151,132
2018-05-01,988,0,163,155
2018-05-02,787,0,172,125
2018-05-03,739,0,144,133
2018-05-04,813,0,194,131
2018-05-05,851,0,173,164
2018-05-06,711,0,141,164
2018-05-07,802,0,153,122
2018-05-08,803,0,180,128
2018-05-09,788,0,167,121
2018-05-10,777,3,154,118
2018-05-11,729,0,152,101
2018-05-12,697,1,141,142
2018-05-13,689,0,124,164
2018-05-14,788,0,134,140
2018-05-15,743,0,119,124
2018-05-16,760,0,141,120
2018-05-17,793,0,148,134
2018-05-18,797,0,167,119
2018-05-19,758,1,161,135
2018-05-20,761,0,147,154
2018-05-21,713,1,141,103
2018-05-22,796,1,157,144
2018-05-23,779,1,150,109
2018-05-24,818,2,170,113
2018-05-25,802,0,152,140
2018-05-26,853,0,180,175
2018-05-27,882,1,231,199
2018-05-28,888,2,206,185
2018-05-29,874,3,151,154
2018-05-30,846,2,174,129
2018-05-31,841,1,165,132
2018-06-01,983,2,172,167
2018-06-02,819,0,168,147
2018-06-03,835,0,173,160
2018-06-04,790,1,141,122
2018-06-05,751,0,129,104
2018-06-06,813,0,152,133
2018-06-07,765,0,147,129
2018-06-08,774,0,161,122
2018-06-09,815,0,159,132
2018-06-10,730,0,123,142
2018-06-11,746,0,135,119
2018-06-12,792,0,139,126
2018-06-13,750,1,140,120
2018-06-14,754,0,169,105
2018-06-15,839,2,172,136
2018-06-16,823,0,152,157
2018-06-17,828,2,161,212
2018-06-18,842,1,153,168
2018-06-19,792,1,145,145
2018-06-20,888,1,173,142
2018-06-21,666,3,105,103
2018-06-22,723,0,155,116
2018-06-23,837,3,159,125
2018-06-24,868,0,157,165
2018-06-25,855,0,151,142
2018-06-26,794,1,130,124
2018-06-27,823,0,154,123
2018-06-28,820,0,151,137
2018-06-29,780,1,156,143
2018-06-30,865,1,194,142
2018-07-01,958,2,198,180
2018-07-02,859,1,164,135
2018-07-03,823,0,178,123
2018-07-04,830,1,173,181
2018-07-05,839,2,199,154
2018-07-06,887,0,182,117
2018-07-07,829,0,162,143
2018-07-08,821,0,188,164
2018-07-09,801,0,146,125
2018-07-10,806,1,139,124
2018-07-11,737,4,130,104
2018-07-12,798,1,139,115
2018-07-13,816,1,139,130
2018-07-14,785,0,155,135
2018-07-15,811,0,153,173
2018-07-16,777,0,143,118
2018-07-17,740,1,124,116
2018-07-18,838,2,136,125
2018-07-19,778,0,127,134
2018-07-20,820,1,132,118
2018-07-21,798,0,175,151
2018-07-22,794,1,145,145
2018-07-23,844,1,151,137
2018-07-24,796,2,142,115
2018-07-25,801,1,170,122
2018-07-26,799,0,157,104
2018-07-27,798,0,168,116
2018-07-28,805,0,169,107
2018-07-29,774,0,151,162
2018-07-30,782,0,118,129
2018-07-31,827,0,148,124
2018-08-01,912,0,166,136
2018-08-02,850,1,147,118
2018-08-03,891,2,151,120
2018-08-04,901,1,154,146
2018-08-05,861,0,148,170
2018-08-06,801,0,143,101
2018-08-07,781,0,154,120
2018-08-08,789,0,171,124
2018-08-09,768,1,133,117
2018-08-10,852,0,179,117
2018-08-11,856,0,168,149
2018-08-12,836,0,172,154
2018-08-13,819,2,153,132
2018-08-14,828,0,156,133
2018-08-15,796,0,153,120
2018-08-16,838,0,146,139
2018-08-17,808,0,152,120
2018-08-18,908,1,208,163
2018-08-19,790,0,162,154
2018-08-20,744,2,138,111
2018-08-21,720,1,139,102
2018-08-22,849,0,187,113
2018-08-23,726,0,133,112
2018-08-24,786,1,164,119
2018-08-25,832,0,192,127
2018-08-26,788,0,167,183
2018-08-27,820,0,169,137
2018-08-28,803,0,140,129
2018-08-29,746,1,134,107
2018-08-30,815,1,187,108
2018-08-31,827,4,165,105
2018-09-01,956,0,212,151
2018-09-02,822,1,210,148
2018-09-03,773,0,171,162
2018-09-04,815,1,172,136
2018-09-05,717,0,146,127
2018-09-06,739,0,160,111
2018-09-07,726,1,147,89
2018-09-08,789,0,165,122
2018-09-09,662,0,119,124
2018-09-10,713,1,126,110
2018-09-11,689,1,146,107
2018-09-12,713,1,142,102
2018-09-13,686,0,119,95
2018-09-14,869,0,154,109
2018-09-15,802,1,136,144
2018-09-16,813,0,164,166
2018-09-17,784,0,123,110
2018-09-18,734,0,134,125
2018-09-19,760,1,141,113
2018-09-20,827,0,145,129
2018-09-21,824,0,152,130
2018-09-22,797,0,156,157
2018-09-23,736,0,142,134
2018-09-24,796,0,130,129
2018-09-25,748,0,142,98
2018-09-26,749,1,149,108
2018-09-27,707,1,140,81
2018-09-28,790,1,168,105
2018-09-29,731,0,162,105
2018-09-30,738,0,157,115
2018-10-01,898,1,156,133
2018-10-02,717,2,115,97
2018-10-03,676,0,111,101
2018-10-04,696,2,102,104
2018-10-05,653,1,103,102
2018-10-06,726,0,108,147
2018-10-07,715,0,115,162
2018-10-08,741,0,149,126
2018-10-09,744,0,159,108
2018-10-10,719,0,154,129
2018-10-11,675,0,124,78
2018-10-12,704,0,137,112
2018-10-13,743,0,146,116
2018-10-14,702,0,152,153
2018-10-15,705,0,112,109
2018-10-16,666,0,114,97
2018-10-17,689,0,144,115
2018-10-18,720,0,158,95
2018-10-19,765,0,146,111
2018-10-20,804,1,152,139
2018-10-21,643,0,109,131
2018-10-22,711,0,140,108
2018-10-23,732,0,150,114
2018-10-24,801,0,155,116
2018-10-25,719,0,137,111
2018-10-26,826,0,172,118
2018-10-27,785,0,129,127
2018-10-28,713,0,138,132
2018-10-29,720,1,144,104
2018-10-30,762,1,181,117
2018-10-31,880,1,166,107
2018-11-01,911,1,159,141
2018-11-02,780,1,168,106
2018-11-03,779,0,157,153
2018-11-04,682,1,142,132
2018-11-05,702,0,155,113
2018-11-06,762,0,156,110
2018-11-07,684,0,144,114
2018-11-08,673,0,136,95
2018-11-09,716,0,148,107
2018-11-10,648,0,134,117
2018-11-11,647,0,128,125
2018-11-12,686,0,131,127
2018-11-13,610,0,102,94
2018-11-14,634,1,134,93
2018-11-15,690,0,150,98
2018-11-16,732,0,175,109
2018-11-17,668,0,144,113
2018-11-18,626,0,126,127
2018-11-19,636,0,114,106
2018-11-20,699,1,133,104
2018-11-21,740,2,162,103
