date,compound_score_weighted,total_volume_of_tweets,count_negatives,count_positives,count_neutrals,sent_negatives,sent_positives,count_news,count_bots,open,high,low,close,bitcoin_close_change,volume_btc,volume_currency,gold_value,gold_change,total_crimes,computer_related,financial_crimes,num_arrests,num_domestic,avg_latitude,avg_longitude
2017-08-01,0.04006863236517494,30802,4701,6471,12089,-0.4108432818745731,0.4374375697129938,19401,7541,2855.81,2929.17,2615.0,2731.0,,12525.07,34322796.54000001,1270.95,,947,0,63,135,160,41.833678533756384,-87.6661266032291
2017-08-02,0.06083273206113785,23726,2732,4734,9063,-0.3699486924403065,0.4248737933484617,14537,7197,2735.27,2760.0,2650.0,2703.51,-1.0065909923104963,8160.55,22086532.15,1269.6,-0.10621975687479246,773,2,18,157,130,41.844181575020926,-87.67089544815605
2017-08-03,0.060429890965437376,25111,3233,5351,9806,-0.3864231471364541,0.4380383222145149,16127,6721,2703.51,2807.44,2698.83,2793.37,3.3238271728234685,7963.73,21938304.000000004,1268.1,-0.11814744801512678,848,0,27,153,133,41.842883350357255,-87.66727522678256
2017-08-04,0.05176190760667412,21863,2703,4150,7959,-0.40757161705738815,0.4484933892701686,13078,7051,2793.34,2877.52,2765.91,2855.0,2.206295621417853,7635.819999999999,21650087.65,1257.7,-0.8201245958520564,924,1,29,164,117,41.8479765572022,-87.6665542163027
2017-08-05,0.09004297629642148,22123,2115,6258,8731,-0.4055540195927528,0.3976363452127327,13045,5019,2851.01,3339.66,2848.32,3263.62,14.312434325744295,16996.260000000002,53861926.05,1257.7,0.0,927,0,19,154,135,41.85398559054643,-87.66439680004925
2017-08-06,0.0625718011617898,15469,2190,3754,6161,-0.39562840517291376,0.4315518099184264,9929,3364,3263.51,3296.51,3146.1,3222.75,-1.2522904014560463,5998.7199999999975,19412655.96,1257.7,0.0,865,0,7,169,169,41.84694390108505,-87.66722092364581
2017-08-07,0.07394049751698982,24169,3710,6587,9688,-0.3560584625828512,0.4304474863895088,16743,4184,3216.78,3430.0,3186.0,3387.55,5.113645178806925,12046.11,40225852.01000001,1258.0,0.023853065118872863,773,0,22,170,128,41.8421997029571,-87.66703953362024
2017-08-08,0.061831811147054175,27334,4193,7144,10816,-0.3756494115463251,0.4103299718061705,19526,5181,3387.54,3490.0,3300.0,3412.41,0.7338637068087461,15835.37,54054824.25,1261.8,0.3020667726550075,765,0,20,156,104,41.84173143017199,-87.6683254921719
2017-08-09,0.07585287858338083,22628,3000,5861,10376,-0.3453275303922417,0.4270654809980887,16476,3391,3408.46,3423.1,3178.72,3342.99,-2.0343393671921057,14286.83,47356464.4,1271.05,0.7330797273735978,769,1,22,147,140,41.83896539575984,-87.67032215140286
2017-08-10,0.09707006555998028,22397,3018,6391,9753,-0.3476445552266131,0.4541574264675039,16211,3235,3342.99,3448.0,3311.17,3413.03,2.0951304072103216,9031.12,30658440.5,1284.4,1.0503127335667497,789,0,22,161,129,41.84988797517435,-87.67188403392755
2017-08-11,0.08567116916418585,23841,2908,6071,10125,-0.3510969209749229,0.4436983450240344,17031,4737,3410.0,3705.0,3390.67,3645.06,6.798358057210161,11927.36,41888022.27,1286.1,0.13235752102147558,765,0,15,163,117,41.846485097569534,-87.67105838407879
2017-08-12,0.0919671807416644,18494,2059,5095,8341,-0.3785796006788094,0.4348957890641987,11744,2999,3651.74,3934.0,3586.95,3855.1,5.762319413123508,12351.070000000005,46799798.41,1286.1,0.0,812,0,14,147,116,41.845886982668716,-87.66719744533006
2017-08-13,0.08202608695652172,81,3,9,11,-0.4967666666666666,0.3752111111111112,72,58,4090.0,4094.5,4037.7,4053.87,5.156027081009573,208.56,845839.7,1286.1,0.0,730,1,11,139,141,41.84135127131272,-87.66765153175609
2017-08-14,0.08952489079671068,28725,3289,8880,13060,-0.3730489861114625,0.3967174747932327,19479,3496,4053.87,4329.43,3964.96,4306.23,6.22516262238304,14212.31,59836002.79999999,1282.3,-0.2954669154809131,811,0,17,139,111,41.847172454351494,-87.67221384318199
2017-08-15,0.08390913305896862,18411,1850,4901,9401,-0.3716646063310971,0.4160621960862108,12896,2259,4221.29,4251.74,3800.0,4155.67,-3.4963297362193724,18968.34,76373854.72999999,1270.3,-0.9358184512204604,795,0,22,117,103,41.84759023344953,-87.66950713650576
2017-08-16,0.08560052619818494,25479,3091,7168,11430,-0.3888728341120892,0.4316033936247625,17825,3790,4154.99,4379.78,3926.06,4378.84,5.3702531721719895,12923.63,54194325.77,1272.75,0.192867826497678,795,0,30,127,126,41.84718926215289,-87.67062009182034
2017-08-17,0.08716441066463441,28404,3374,8731,12283,-0.3939669766880825,0.4099495245679071,20522,4016,4361.99,4480.0,4167.21,4276.5,-2.3371486512409723,14573.16,63228604.19,1285.15,0.9742683166372056,767,2,19,126,108,41.84566487388574,-87.67014220151522
2017-08-18,0.07508449944685243,27488,3380,6806,11314,-0.38271782164765655,0.4248931055586686,18204,5988,4260.47,4368.0,3964.96,4100.0,-4.127206828013563,17517.0,73224029.25,1295.8,0.8286970392560988,856,0,12,165,125,41.84505640082196,-87.66852154383263
2017-08-19,0.08951825374181997,19821,2231,4837,6836,-0.358704397324591,0.4234494679933387,11446,5917,4100.0,4188.0,3900.0,4099.55,-0.01097560975609202,15036.189999999995,60604905.59000001,1295.8,0.0,891,0,16,172,143,41.84307260389946,-87.67038039245762
2017-08-20,0.10145873680711877,18632,1927,5011,6809,-0.3933454721663818,0.4277516400134573,11521,4885,4091.99,4125.95,4000.0,4058.68,-0.9969386883926346,6237.98,25289638.599999994,1295.8,0.0,774,0,5,135,139,41.84644038153315,-87.67068342695063
2017-08-21,0.09491907616921323,21145,2666,5687,8472,-0.3372254212170503,0.4394550108828745,14320,4320,4058.64,4080.0,3949.78,3987.52,-1.7532793913291989,9782.06,39203908.94999999,1292.9,-0.22379996913103328,753,1,15,137,121,41.84738513468371,-87.67146497188743
2017-08-22,0.06975687733315199,24890,3743,6659,10303,-0.36395351739609216,0.42195539111699465,17366,4185,3987.51,4139.31,3600.0,4085.0,2.44462723697938,23522.770000000004,91600325.73,1284.2,-0.6729058705236324,779,1,15,138,125,41.84393978309705,-87.66982951814234
2017-08-23,0.08281006971368678,23651,3175,6586,9370,-0.3681239624590317,0.4241479410963678,16052,4520,4078.0,4248.97,4051.94,4108.12,0.5659730722154199,14979.4,62117291.57,1286.65,0.1907802522971513,747,0,18,153,121,41.845279500341455,-87.66941024277183
