date,value
2019-01-21,1279.55
2019-01-18,1284.2
2019-01-17,1290.7
2019-01-16,1292.3
2019-01-15,1294.4
2019-01-14,1292.75
2019-01-11,1288.95
2019-01-10,1291.9
2019-01-09,1288.6
2019-01-08,1286.45
2019-01-07,1292.2
2019-01-04,1279.9
2019-01-03,1290.45
2019-01-02,1282.9
2019-01-01,1279.0
2018-12-31,1279.0
2018-12-28,1279.0
2018-12-27,1268.0
2018-12-26,1258.15
2018-12-25,1258.15
2018-12-24,1258.15
2018-12-21,1258.15
2018-12-20,1259.75
2018-12-19,1255.0
2018-12-18,1246.3
2018-12-17,1241.65
2018-12-14,1235.35
2018-12-13,1242.75
2018-12-12,1245.75
2018-12-11,1245.3
2018-12-10,1245.35
2018-12-07,1243.3
2018-12-06,1242.55
2018-12-05,1235.9
2018-12-04,1240.3
2018-12-03,1230.3
2018-11-30,1217.55
2018-11-29,1226.25
2018-11-28,1213.25
2018-11-27,1221.2
2018-11-26,1223.4
2018-11-23,1223.65
2018-11-22,1227.05
2018-11-21,1226.1
2018-11-20,1223.0
2018-11-19,1221.6
2018-11-16,1222.4
2018-11-15,1211.85
2018-11-14,1203.25
2018-11-13,1202.1
2018-11-12,1205.55
2018-11-09,1211.4
2018-11-08,1224.15
2018-11-07,1229.95
2018-11-06,1231.6
2018-11-05,1232.25
2018-11-02,1232.1
2018-11-01,1231.15
2018-10-31,1214.95
2018-10-30,1225.4
2018-10-29,1230.8
2018-10-26,1233.85
2018-10-25,1230.8
2018-10-24,1230.55
2018-10-23,1235.95
2018-10-22,1222.3
2018-10-19,1227.85
2018-10-18,1223.0
2018-10-17,1229.05
2018-10-16,1230.7
2018-10-15,1229.95
2018-10-12,1219.75
2018-10-11,1205.55
2018-10-10,1188.6
2018-10-09,1185.55
2018-10-08,1186.95
2018-10-05,1203.8
2018-10-04,1203.45
2018-10-03,1201.2
2018-10-02,1204.7
2018-10-01,1189.35
2018-09-28,1187.25
2018-09-27,1185.4
2018-09-26,1194.25
2018-09-25,1201.9
2018-09-24,1202.75
2018-09-21,1198.7
2018-09-20,1208.35
2018-09-19,1203.3
2018-09-18,1200.2
2018-09-17,1201.9
2018-09-14,1201.95
2018-09-13,1209.8
2018-09-12,1195.6
2018-09-11,1189.85
2018-09-10,1196.6
2018-09-07,1198.9
2018-09-06,1205.15
2018-09-05,1196.7
2018-09-04,1190.85
2018-09-03,1200.05
2018-08-31,1202.45
2018-08-30,1197.3
2018-08-29,1204.2
2018-08-28,1212.25
2018-08-27,1197.7
2018-08-24,1197.7
2018-08-23,1192.35
2018-08-22,1196.65
2018-08-21,1190.95
2018-08-20,1184.35
2018-08-17,1178.4
2018-08-16,1180.4
2018-08-15,1182.0
2018-08-14,1197.0
2018-08-13,1200.35
2018-08-10,1214.4
2018-08-09,1214.35
2018-08-08,1209.55
2018-08-07,1212.35
2018-08-06,1209.65
2018-08-03,1216.3
2018-08-02,1215.45
2018-08-01,1219.0
2018-07-31,1220.95
2018-07-30,1223.8
2018-07-27,1223.95
2018-07-26,1228.25
2018-07-25,1231.5
2018-07-24,1228.35
2018-07-23,1224.95
2018-07-20,1228.75
2018-07-19,1217.55
2018-07-18,1224.5
2018-07-17,1232.8
2018-07-16,1241.1
2018-07-13,1241.7
2018-07-12,1245.9
2018-07-11,1251.4
2018-07-10,1254.0
2018-07-09,1262.05
2018-07-06,1255.35
2018-07-05,1255.5
2018-07-04,1255.65
2018-07-03,1251.75
2018-07-02,1247.8
2018-06-29,1250.45
2018-06-28,1251.55
2018-06-27,1254.6
2018-06-26,1260.3
2018-06-25,1268.7
2018-06-22,1269.15
2018-06-21,1266.15
2018-06-20,1274.2
2018-06-19,1276.15
2018-06-18,1281.55
2018-06-15,1285.25
2018-06-14,1302.75
2018-06-13,1296.15
2018-06-12,1298.65
2018-06-11,1299.6
2018-06-08,1298.25
2018-06-07,1297.25
2018-06-06,1300.1
2018-06-05,1292.05
2018-06-04,1295.45
2018-06-01,1294.6
2018-05-31,1305.35
2018-05-30,1300.7
2018-05-29,1295.5
2018-05-28,1303.5
2018-05-25,1303.5
2018-05-24,1304.85
2018-05-23,1289.0
2018-05-22,1293.05
2018-05-21,1288.35
2018-05-18,1288.3
2018-05-17,1289.5
2018-05-16,1291.25
2018-05-15,1295.0
2018-05-14,1319.85
2018-05-11,1324.35
2018-05-10,1318.8
2018-05-09,1313.85
2018-05-08,1306.6
2018-05-07,1309.4
2018-05-04,1309.4
2018-05-03,1315.05
2018-05-02,1304.2
2018-05-01,1307.1
2018-04-30,1313.2
2018-04-27,1321.5
2018-04-26,1320.7
2018-04-25,1321.65
2018-04-24,1328.85
2018-04-23,1324.3
2018-04-20,1336.75
2018-04-19,1348.6
2018-04-18,1351.45
2018-04-17,1342.1
2018-04-16,1349.35
2018-04-13,1343.7
2018-04-12,1341.35
2018-04-11,1350.75
2018-04-10,1338.95
2018-04-09,1331.95
2018-04-06,1331.2
2018-04-05,1327.7
2018-04-04,1337.3
2018-04-03,1333.45
2018-04-02,1323.85
2018-03-30,1323.85
2018-03-29,1323.85
2018-03-28,1332.45
2018-03-27,1341.45
