Category: All categories

Month,terrorism: (Australia)
2004-01,16
2004-02,38
2004-03,75
2004-04,58
2004-05,68
2004-06,76
2004-07,37
2004-08,56
2004-09,67
2004-10,87
2004-11,46
2004-12,22
2005-01,18
2005-02,26
2005-03,36
2005-04,35
2005-05,40
2005-06,35
2005-07,68
2005-08,72
2005-09,59
2005-10,100
2005-11,78
2005-12,22
2006-01,14
2006-02,29
2006-03,40
2006-04,38
2006-05,45
2006-06,31
2006-07,25
2006-08,46
2006-09,44
2006-10,49
2006-11,29
2006-12,12
2007-01,10
2007-02,20
2007-03,23
2007-04,27
2007-05,31
2007-06,19
2007-07,19
2007-08,32
2007-09,29
2007-10,31
2007-11,26
2007-12,8
2008-01,10
2008-02,18
2008-03,18
2008-04,20
2008-05,27
2008-06,18
2008-07,14
2008-08,18
2008-09,24
2008-10,28
2008-11,20
2008-12,10
2009-01,7
2009-02,15
2009-03,18
2009-04,17
2009-05,23
2009-06,15
2009-07,13
2009-08,20
2009-09,22
2009-10,24
2009-11,16
2009-12,6
2010-01,8
2010-02,15
2010-03,16
2010-04,13
2010-05,20
2010-06,16
2010-07,9
2010-08,15
2010-09,16
2010-10,15
2010-11,13
2010-12,6
2011-01,5
2011-02,8
2011-03,10
2011-04,11
2011-05,18
2011-06,11
2011-07,9
2011-08,13
2011-09,15
2011-10,14
2011-11,9
2011-12,5
2012-01,7
2012-02,8
2012-03,11
2012-04,7
2012-05,11
2012-06,7
2012-07,7
2012-08,11
2012-09,12
2012-10,11
2012-11,9
2012-12,5
2013-01,5
2013-02,6
2013-03,7
2013-04,12
2013-05,14
2013-06,10
2013-07,7
2013-08,11
2013-09,10
2013-10,11
2013-11,9
2013-12,5
2014-01,5
2014-02,6
2014-03,9
2014-04,7
2014-05,11
2014-06,8
2014-07,9
2014-08,15
2014-09,46
2014-10,21
2014-11,12
2014-12,28
2015-01,21
2015-02,17
2015-03,15
2015-04,16
2015-05,18
2015-06,16
2015-07,11
2015-08,13
2015-09,14
2015-10,19
2015-11,36
2015-12,15
2016-01,11
2016-02,12
2016-03,17
2016-04,14
2016-05,19
2016-06,18
2016-07,24
2016-08,18
2016-09,18
2016-10,17
2016-11,14
2016-12,11
2017-01,13
2017-02,13
2017-03,15
2017-04,12
2017-05,21
2017-06,32
2017-07,15
2017-08,19
2017-09,12
2017-10,19
2017-11,12
2017-12,9
2018-01,6
2018-02,9
2018-03,13
2018-04,10
2018-05,13
2018-06,10
2018-07,8
2018-08,13
2018-09,12
2018-10,14
2018-11,15
2018-12,7
2019-01,5
2019-02,7
2019-03,20
2019-04,15
2019-05,12
2019-06,9
2019-07,6
2019-08,11
2019-09,10
